NAME,Short name,Cutoff date
Academy School District 20,,
Adams 12 Five Star Schools,,
Adams County School District 14,,
Adams-Arapahoe School District 28J,,
Agate School District 300,Agate 300,1-Sep
Aguilar Reorganized School District 6,Aguilar RE-6,1-May
Akron School District R-1,Akron R-1,1-Jul
Alamosa School District RE-11J,Alamosa RE-11J,1-Jun
Archuleta County School District 50-JT,Archuleta County 50-JT,15-Sep
Arickaree School District R-2,,
Arriba-Flagler School District C-20,Arriba-Flagler C-20,1-Aug
Aspen School District 1,,
Ault-Highland School District RE-9,Ault-Highland RE-9,1-Aug
Bayfield School District 10 JT-R,Bayfield 10 JT-R,1-Sep
Bennett School District 29-J,Bennett 29-J,1-Sep
Bethune School District R-5,Bethune R-5,31-Aug
Big Sandy School District 100J,Big Sandy 100-J,1-Aug
Boulder Valley School District RE-2,,
Branson Reorganized School District 82,Branson RE-82,15-Aug
Briggsdale School District RE-10,Briggsdale RE-10,15-Jun
Brush School District RE-2J,Brush RE 2-J,15-Jun
Buena Vista School District R-31,Buena Vista R-31,1-Sep
Buffalo School District RE-4,Buffalo  RE-4J,1-Jun
Burlington School District RE-6J,Burlington RE-6J,1-Jun
Byers School District 32J,Byers 32-J,1-Jun
Calhan School District RJ-1,,
Campo School District RE-6,Campo RE-6,1-Jul
Cañon City School District RE-1,Canon City RE-1,1-Aug
Centennial School District R-1,Centennial R-1,1-Jun
Center School District 26-JT,Center 26-JT,1-Jun
Cheraw School District 31,Cheraw 31,1-Aug
Cherry Creek School District 5,,
Cheyenne County School District RE-5,Cheyenne County RE-5,1-Jul
Cheyenne Mountain School District 12,,
Clear Creek School District RE-1,,
Colorado Springs School District 11,,
Cotopaxi School District RE-3,Cotopaxi RE-3,1-Aug
Creede School District,Creede,1-Jun
Cripple Creek-Victor School District RE-1,,
Crowley County School District RE-1-J,Crowley County RE-1J,1-Jun
Custer County School District C-1,Custer,1-Aug
De Beque School District 49-JT,De Beque 49-JT,1-Aug
Deer Trail School District 26J,Deer Trail 26-J,1-Jun
Delta County School District 50J,Delta County 50-J,1-Sep
Denver County School District 1,,
Dolores County School District RE-2,Dolores County RE-2J,15-Aug
Dolores School District RE-4A,Dolores RE-4A,1-Sep
Douglas County School District RE-1,,
Durango School District 9-R,Durango 9 -R,1-Sep
Eads School District RE-1,Eads RE-1,1-May
Eagle County School District RE 50,,
East Grand School District 2,East Grand 2,30-Sep
East Otero School District R-1,East Otero RE-1,1-Jul
Eaton School District RE-2,Eaton RE-2,1-Jul
Edison School District 54-JT,Edison 54-JT,15-Jun
Elbert School District 200,Elbert 200,15-Aug
Elizabeth School District,,
Ellicott School District 22,,
Englewood School District 1,,
Estes Park School District R-3,,
Fort Morgan School District RE-3,Fort Morgan RE-3,15-Jun
Fountain School District 8,,
Fowler School District R-4J,Fowler R-4J,1-Aug
Fremont RE-2,Fremont RE-2,1-Aug
Frenchman School District RE-3,Frenchman RE 3,1-Jul
Garfield County School District 16,,
Garfield School District RE-2,,
Genoa-Hugo School District C-113,Genoa -Hugo C-113,1-Jul
Gilpin County School District RE-1,,
Granada School District RE-1,Granada - RE-1,30-Jun
Greeley School District 6,,
Gunnison Watershed School District RE-1J,Gunnison Watershed RE-1J,1-Aug
Hanover School District 28,,
Harrison School District 2,,
Haxtun School District RE-2J,Haxtun RE-2J,1-Aug
Hayden School District RE-1,,
Hi-Plains School District R-23,Hi-Plains R-23,1-Jun
Hinsdale County School District RE-1,Hinsdale County RE-1,1-Aug
Hoehne Reorganized School District 3,Hoehne RE-3,1-May
Holly School District RE-3,Holly RE-3,1-Jun
Holyoke School District RE-1J,Holyoke RE-1J,1-Jun
Huerfano School District RE-1,Huerfano RE-1,30-Jun
Idalia School District RJ-3,Idalia RJ-3,15-Jul
Ignacio School District 11-JT,Ignacio 11-JT,1-Aug
